,id,tipo,status
110,667-53-7277,puerta a puerta,finalizado
111,683-78-5337,puerta a puerta,en curso
112,729-90-4105,paquetes,Disponible
113,280-22-8388,viaje,aceptado
114,913-58-6346,puerta a puerta,cancelado
115,000-50-1236,viaje,Disponible
116,840-54-1368,paquetes,No Dsiponible
117,908-40-6094,comida,Disponible
118,151-78-0650,encomienda,Disponible
119,032-52-6202,comida,aceptado
120,264-62-6857,comida,finalizado
121,555-30-4580,paquetes,en curso
122,103-31-9271,paquetes,en curso
123,035-84-0804,encomienda,Disponible
124,785-54-0475,viaje,finalizado
125,975-52-9327,paquetes,No Dsiponible
126,613-83-4499,encomienda,Disponible
127,741-50-8177,encomienda,No Dsiponible
128,423-41-6054,viaje,finalizado
129,303-37-2666,comida,aceptado
130,556-68-6570,puerta a puerta,No Dsiponible
131,830-63-7034,viaje,Disponible
132,106-74-7088,paquetes,No Dsiponible
133,709-89-9510,paquetes,cancelado
134,643-81-6447,encomienda,cancelado
135,805-39-0846,puerta a puerta,cancelado
136,199-45-8432,encomienda,en curso
137,804-02-1384,comida,No Dsiponible
138,238-25-9181,comida,Disponible
139,198-50-0596,viaje,Disponible
140,775-70-7752,viaje,en curso
141,291-66-8373,paquetes,en curso
142,296-59-4172,comida,Disponible
143,214-03-8403,paquetes,aceptado
144,007-84-1231,viaje,Disponible
145,470-89-2457,puerta a puerta,No Dsiponible
146,617-73-5956,comida,finalizado
147,376-25-7887,paquetes,en curso
148,202-44-4603,puerta a puerta,en curso
149,141-15-5584,puerta a puerta,No Dsiponible
150,119-83-6431,puerta a puerta,cancelado
151,614-12-8844,comida,cancelado
152,852-14-2555,puerta a puerta,Disponible
153,582-22-5377,viaje,cancelado
154,832-49-7404,viaje,aceptado
155,662-34-4332,encomienda,en curso
156,587-79-0958,paquetes,en curso
157,362-60-0626,puerta a puerta,Disponible
158,917-26-8374,encomienda,No Dsiponible
159,346-07-1913,puerta a puerta,Disponible
160,318-86-8180,paquetes,No Dsiponible
161,932-91-6891,viaje,finalizado
162,684-18-2269,puerta a puerta,finalizado
163,349-07-3044,encomienda,Disponible
164,820-84-7698,paquetes,finalizado
165,529-58-4520,puerta a puerta,cancelado
166,639-35-9606,comida,en curso
167,639-84-2369,comida,No Dsiponible
168,730-76-3323,paquetes,aceptado
169,915-56-2044,paquetes,finalizado
170,476-92-3229,paquetes,cancelado
171,977-99-8393,encomienda,cancelado
172,859-51-0952,comida,aceptado
173,587-17-9370,encomienda,Disponible
174,802-55-7745,puerta a puerta,cancelado
175,711-40-0340,encomienda,No Dsiponible
176,304-78-0820,encomienda,aceptado
177,073-99-8322,paquetes,finalizado
178,280-86-7103,encomienda,No Dsiponible
179,334-33-8373,comida,cancelado
180,782-10-3828,puerta a puerta,aceptado
181,048-17-3267,puerta a puerta,No Dsiponible
182,339-36-2431,paquetes,No Dsiponible
183,134-33-4181,paquetes,en curso
184,363-83-9417,comida,en curso
185,689-38-7079,paquetes,aceptado
186,062-06-8153,paquetes,en curso
187,173-87-7162,paquetes,finalizado
188,697-01-9273,encomienda,aceptado
189,534-83-5406,viaje,No Dsiponible
190,207-22-7692,viaje,aceptado
191,811-39-9263,paquetes,Disponible
192,851-40-3159,encomienda,aceptado
193,088-30-1014,encomienda,Disponible
194,863-39-9380,comida,finalizado
195,155-49-1125,comida,No Dsiponible
196,269-41-0896,encomienda,Disponible
197,476-39-9721,comida,finalizado
198,922-36-6228,puerta a puerta,finalizado
199,455-54-1911,paquetes,No Dsiponible
200,131-13-1521,puerta a puerta,No Dsiponible
201,964-98-0382,puerta a puerta,aceptado
202,429-18-9583,viaje,en curso
203,205-18-4439,paquetes,Disponible
204,034-64-9353,comida,Disponible
205,005-93-6485,paquetes,en curso
206,335-01-9215,viaje,Disponible
207,151-96-8666,encomienda,Disponible
208,092-08-7748,comida,cancelado
209,566-78-6819,paquetes,Disponible
210,545-17-2843,viaje,No Dsiponible
211,878-64-0727,comida,en curso
212,697-86-2301,puerta a puerta,aceptado
213,880-57-5691,viaje,Disponible
214,318-05-7380,encomienda,finalizado
215,491-80-7252,encomienda,cancelado
216,057-99-7615,encomienda,cancelado
217,641-99-4329,viaje,cancelado
218,839-28-6852,encomienda,Disponible
219,425-12-1347,encomienda,Disponible
220,808-10-2424,puerta a puerta,finalizado
221,249-04-6642,comida,finalizado
222,919-70-0597,comida,finalizado
223,660-83-5109,paquetes,cancelado
224,145-69-5562,comida,aceptado
225,593-04-9649,encomienda,No Dsiponible
226,875-44-3099,comida,finalizado
227,796-03-5928,viaje,Disponible
228,069-73-8482,puerta a puerta,Disponible
229,594-70-1506,comida,aceptado
230,469-36-9845,comida,finalizado
231,281-60-3672,puerta a puerta,Disponible
232,538-80-2570,encomienda,cancelado
233,516-19-1908,viaje,aceptado
234,065-74-5833,viaje,Disponible
235,279-32-5420,comida,finalizado
236,611-74-6529,encomienda,No Dsiponible
237,969-84-3101,puerta a puerta,finalizado
238,229-52-1371,comida,en curso
239,459-81-4815,viaje,aceptado
240,613-79-7927,encomienda,Disponible
241,889-20-9995,viaje,en curso
242,127-27-3837,comida,cancelado
243,631-95-6286,encomienda,cancelado
244,658-03-4959,encomienda,cancelado
245,880-39-0118,encomienda,cancelado
246,219-24-8542,puerta a puerta,aceptado
247,888-39-5695,encomienda,aceptado
248,067-92-2694,paquetes,Disponible
249,871-69-5372,paquetes,Disponible
250,597-10-8569,viaje,No Dsiponible
251,878-46-7860,encomienda,No Dsiponible
252,258-26-9354,encomienda,Disponible
253,280-89-7331,viaje,cancelado
254,483-08-7356,puerta a puerta,Disponible
255,201-05-3238,paquetes,en curso
256,516-08-5688,comida,finalizado
257,213-70-5455,encomienda,No Dsiponible
258,920-30-3793,encomienda,No Dsiponible
259,016-95-7247,encomienda,Disponible
260,035-80-9317,viaje,Disponible
261,582-19-6469,comida,Disponible
262,915-38-5643,viaje,finalizado
263,440-94-8430,encomienda,finalizado
264,953-91-6558,viaje,Disponible
265,261-46-6353,viaje,Disponible
266,745-61-6517,comida,finalizado
267,943-24-6566,paquetes,finalizado
268,271-68-2820,comida,cancelado
269,312-59-5391,comida,aceptado
270,766-24-6421,encomienda,finalizado
271,264-44-2780,viaje,en curso
272,114-70-5194,viaje,cancelado
273,835-74-0500,paquetes,No Dsiponible
274,450-88-3722,comida,No Dsiponible
275,057-04-7530,comida,Disponible
276,398-93-8936,paquetes,finalizado
277,441-56-0071,paquetes,cancelado
278,275-77-0088,viaje,en curso
279,684-37-1454,viaje,en curso
280,005-71-8012,paquetes,No Dsiponible
281,256-57-2282,encomienda,aceptado
282,317-37-7630,puerta a puerta,cancelado
283,952-81-6374,comida,finalizado
284,104-36-9783,puerta a puerta,No Dsiponible
285,958-07-8284,encomienda,Disponible
286,645-09-3011,paquetes,No Dsiponible
287,807-33-6679,viaje,Disponible
288,607-07-5884,paquetes,No Dsiponible
289,062-03-6611,paquetes,No Dsiponible
290,309-77-8329,comida,No Dsiponible
291,933-03-6250,comida,en curso
292,825-04-3061,encomienda,cancelado
293,214-61-0522,encomienda,cancelado
294,008-10-4749,comida,Disponible
295,796-86-9852,puerta a puerta,cancelado
296,192-86-4437,encomienda,Disponible
297,527-91-6740,paquetes,Disponible
298,975-38-0411,comida,cancelado
299,766-04-5085,viaje,Disponible
300,856-40-1761,paquetes,cancelado
301,192-24-7494,puerta a puerta,cancelado
302,388-84-0770,puerta a puerta,cancelado
303,438-92-8473,viaje,No Dsiponible
304,215-74-7506,viaje,No Dsiponible
305,233-66-5070,puerta a puerta,No Dsiponible
306,990-39-1140,viaje,aceptado
307,358-51-6779,paquetes,Disponible
308,149-89-2081,encomienda,en curso
309,402-41-4702,puerta a puerta,finalizado
310,773-36-3220,comida,en curso
311,568-61-9612,paquetes,aceptado
312,383-56-5053,paquetes,No Dsiponible
313,752-17-6940,viaje,cancelado
314,835-38-2482,encomienda,Disponible
315,923-60-4325,paquetes,Disponible
316,614-29-1506,comida,No Dsiponible
317,363-98-5553,comida,cancelado
318,979-94-1908,paquetes,aceptado
319,477-20-6488,viaje,Disponible
320,064-95-9115,paquetes,No Dsiponible
321,826-58-8386,comida,en curso
322,235-07-1514,puerta a puerta,aceptado
323,608-84-9699,encomienda,finalizado
324,464-72-4973,encomienda,cancelado
325,269-09-7893,paquetes,No Dsiponible
326,261-69-4449,viaje,No Dsiponible
327,071-13-5780,viaje,cancelado
328,435-44-4055,viaje,cancelado
329,792-72-3557,puerta a puerta,Disponible
330,829-97-4778,puerta a puerta,No Dsiponible
331,493-96-4210,encomienda,en curso
332,887-06-7647,encomienda,cancelado
333,695-39-5442,comida,aceptado
334,184-42-2595,puerta a puerta,finalizado
335,169-30-4068,viaje,No Dsiponible
336,888-11-4279,encomienda,aceptado
337,538-02-0569,viaje,finalizado
338,752-07-0120,encomienda,cancelado
339,309-74-3541,comida,aceptado
340,230-28-4341,paquetes,Disponible
341,393-35-2360,viaje,finalizado
342,066-76-8517,comida,aceptado
343,442-35-0740,paquetes,No Dsiponible
344,389-40-4924,comida,finalizado
345,520-74-3670,encomienda,No Dsiponible
346,339-87-7243,puerta a puerta,No Dsiponible
347,592-19-4049,viaje,aceptado
348,276-56-0858,puerta a puerta,en curso
349,530-87-2520,comida,aceptado
350,815-10-1706,viaje,Disponible
351,496-78-6391,encomienda,en curso
352,577-93-4000,viaje,en curso
353,005-68-0929,puerta a puerta,en curso
354,524-42-3643,paquetes,Disponible
355,017-97-4096,viaje,No Dsiponible
356,744-53-5485,viaje,aceptado
357,136-53-0943,paquetes,aceptado
358,054-62-5159,viaje,finalizado
359,962-41-4258,comida,Disponible
360,155-34-0471,encomienda,cancelado
361,405-18-8042,encomienda,en curso
362,926-17-4910,viaje,en curso
363,276-04-1895,comida,finalizado
364,984-25-4319,viaje,finalizado
365,637-26-6369,comida,Disponible
366,193-77-5748,encomienda,cancelado
367,396-55-6464,viaje,cancelado
368,061-46-1004,viaje,aceptado
369,809-74-3686,encomienda,en curso
370,357-39-8291,viaje,Disponible
371,846-73-5927,viaje,en curso
372,425-07-5906,viaje,cancelado
373,820-82-9348,comida,cancelado
374,271-77-3007,encomienda,No Dsiponible
375,631-27-0058,comida,No Dsiponible
376,571-52-8054,viaje,aceptado
377,315-29-6656,viaje,aceptado
378,950-12-7209,puerta a puerta,aceptado
379,359-55-1511,puerta a puerta,No Dsiponible
380,420-66-7191,viaje,aceptado
381,165-54-7966,paquetes,cancelado
382,568-15-5827,viaje,finalizado
383,205-63-8340,encomienda,en curso
384,684-28-3531,viaje,Disponible
385,672-58-6119,paquetes,No Dsiponible
386,393-20-4307,paquetes,en curso
387,454-09-0159,paquetes,cancelado
388,507-27-1137,paquetes,en curso
389,166-43-6538,paquetes,en curso
390,290-83-7107,viaje,aceptado
391,712-22-2351,encomienda,cancelado
392,491-01-4864,paquetes,en curso
393,582-14-3007,viaje,cancelado
394,096-89-3411,viaje,finalizado
395,722-13-8968,viaje,aceptado
396,660-91-3543,encomienda,Disponible
397,578-06-3238,puerta a puerta,No Dsiponible
398,364-84-0361,encomienda,finalizado
399,420-95-0678,encomienda,cancelado
400,841-50-8079,comida,No Dsiponible
401,810-36-7247,paquetes,Disponible
402,190-45-7634,encomienda,en curso
403,812-95-9743,puerta a puerta,Disponible
404,047-65-4470,viaje,No Dsiponible
405,202-96-4918,puerta a puerta,No Dsiponible
406,860-28-5786,encomienda,Disponible
407,418-74-4549,puerta a puerta,cancelado
408,348-53-3728,viaje,No Dsiponible
409,136-72-5899,viaje,No Dsiponible
410,427-73-6330,viaje,en curso
411,804-32-7862,comida,No Dsiponible
412,491-84-3112,viaje,No Dsiponible
413,832-84-0762,paquetes,No Dsiponible
414,316-31-2610,comida,aceptado
415,324-96-4590,paquetes,en curso
416,227-11-9820,comida,Disponible
417,854-06-4531,encomienda,en curso
418,699-04-5385,paquetes,finalizado
419,110-36-2719,puerta a puerta,Disponible
420,326-75-9371,paquetes,en curso
421,232-40-3108,encomienda,finalizado
422,949-96-9968,paquetes,Disponible
423,471-74-3899,viaje,No Dsiponible
424,125-03-9768,paquetes,finalizado
425,705-34-5888,paquetes,cancelado
426,237-29-4772,comida,finalizado
427,999-66-9021,viaje,Disponible
428,842-33-5298,viaje,cancelado
429,759-13-1366,comida,finalizado
430,688-71-8169,puerta a puerta,cancelado
431,633-09-0114,comida,finalizado
432,387-42-3935,encomienda,cancelado
433,366-26-2346,viaje,cancelado
434,528-01-0938,comida,aceptado
435,280-69-7827,puerta a puerta,aceptado
436,571-88-6503,viaje,No Dsiponible
437,013-66-5712,puerta a puerta,en curso
438,059-08-0892,paquetes,aceptado
439,640-28-2670,comida,No Dsiponible
440,637-70-0263,puerta a puerta,cancelado
441,844-49-7717,comida,aceptado
442,979-28-5579,paquetes,Disponible
443,199-55-3586,paquetes,No Dsiponible
444,885-02-1618,viaje,aceptado
445,128-12-3996,paquetes,No Dsiponible
446,517-50-9374,encomienda,finalizado
447,877-03-0142,comida,cancelado
448,335-30-0309,paquetes,en curso
449,686-56-2274,comida,cancelado
450,284-89-2908,encomienda,finalizado
451,434-80-1627,paquetes,en curso
452,789-76-9014,encomienda,finalizado
453,362-25-2740,puerta a puerta,Disponible
454,354-91-5032,encomienda,en curso
455,283-81-7915,encomienda,en curso
456,747-09-9177,paquetes,cancelado
457,489-29-3303,puerta a puerta,Disponible
458,570-50-6650,viaje,No Dsiponible
459,905-82-8055,puerta a puerta,en curso
460,081-89-7894,paquetes,cancelado
461,938-97-6439,paquetes,finalizado
462,683-24-6455,paquetes,No Dsiponible
463,444-41-4593,puerta a puerta,No Dsiponible
464,507-46-7982,comida,cancelado
465,353-36-7007,paquetes,aceptado
466,049-13-6649,comida,Disponible
467,204-29-3037,comida,cancelado
468,366-59-7270,puerta a puerta,en curso
469,384-11-2933,comida,cancelado
470,095-55-9437,comida,finalizado
471,814-62-5503,comida,No Dsiponible
472,182-47-1509,comida,finalizado
473,848-19-8019,puerta a puerta,finalizado
474,857-24-8950,viaje,Disponible
475,752-59-0020,paquetes,aceptado
476,609-07-4029,paquetes,Disponible
477,806-77-1193,puerta a puerta,finalizado
478,433-72-5541,comida,No Dsiponible
479,851-19-0271,paquetes,cancelado
480,243-11-1854,paquetes,en curso
481,552-43-4055,paquetes,cancelado
482,475-39-5116,encomienda,aceptado
483,056-43-3128,encomienda,cancelado
484,199-49-0926,paquetes,aceptado
485,250-78-4440,encomienda,No Dsiponible
486,640-22-1579,viaje,finalizado
487,785-41-7348,encomienda,finalizado
488,540-81-7636,viaje,en curso
489,513-37-0956,comida,No Dsiponible
490,052-55-6903,encomienda,en curso
491,654-67-1824,paquetes,cancelado
492,085-13-8062,puerta a puerta,en curso
493,277-25-2014,puerta a puerta,en curso
494,844-54-0625,paquetes,No Dsiponible
495,457-99-1276,comida,finalizado
496,845-13-0197,paquetes,No Dsiponible
497,904-50-0823,encomienda,Disponible
498,049-10-3133,encomienda,Disponible
499,747-31-1927,paquetes,Disponible
500,467-04-1436,puerta a puerta,cancelado
501,666-56-0425,viaje,aceptado
502,071-33-3931,paquetes,finalizado
503,487-73-2454,viaje,cancelado
504,754-79-8462,puerta a puerta,No Dsiponible
505,485-40-7607,viaje,No Dsiponible
506,284-77-0711,puerta a puerta,en curso
507,232-82-0774,comida,en curso
508,596-18-0642,puerta a puerta,en curso
509,000-16-9501,encomienda,No Dsiponible
510,969-83-9225,viaje,Disponible
511,966-30-0520,paquetes,Disponible
512,331-25-3827,paquetes,aceptado
513,447-11-5297,viaje,en curso
514,282-22-2923,puerta a puerta,Disponible
515,153-88-9846,encomienda,aceptado
516,707-14-2744,viaje,en curso
517,560-14-5006,encomienda,Disponible
518,202-23-4594,encomienda,Disponible
519,079-72-7929,comida,Disponible
520,370-39-1142,paquetes,en curso
521,236-41-5462,viaje,No Dsiponible
522,554-35-3650,puerta a puerta,No Dsiponible
523,708-84-0965,encomienda,en curso
524,508-16-1368,puerta a puerta,en curso
525,045-57-7454,comida,aceptado
526,730-97-5945,paquetes,Disponible
527,587-78-8744,encomienda,Disponible
528,463-00-5355,encomienda,No Dsiponible
529,234-77-2726,comida,aceptado
530,190-15-4008,viaje,aceptado
531,086-54-3062,viaje,finalizado
532,501-43-1144,paquetes,finalizado
533,797-57-7059,comida,finalizado
534,666-82-5748,viaje,en curso
535,564-66-2398,viaje,aceptado
536,285-32-1291,encomienda,Disponible
537,268-87-2589,puerta a puerta,cancelado
538,399-26-3304,paquetes,aceptado
539,318-23-9278,comida,No Dsiponible
540,526-92-4160,paquetes,cancelado
541,704-59-6330,encomienda,cancelado
542,833-82-6349,paquetes,en curso
543,072-40-2102,viaje,No Dsiponible
544,004-86-0585,encomienda,Disponible
545,601-68-8189,comida,finalizado
546,269-36-0414,paquetes,en curso
547,248-01-9514,paquetes,cancelado
548,076-61-2605,comida,aceptado
549,683-75-2007,puerta a puerta,No Dsiponible
550,196-68-8958,encomienda,finalizado
551,837-31-7436,encomienda,en curso
552,606-46-1331,puerta a puerta,en curso
553,346-90-3304,comida,finalizado
554,920-13-7782,comida,cancelado
555,297-03-4727,viaje,Disponible
556,535-50-7348,paquetes,Disponible
557,029-93-7598,comida,aceptado
558,231-25-9098,comida,finalizado
559,072-49-4038,viaje,Disponible
560,887-03-3598,comida,en curso
561,078-82-7925,puerta a puerta,No Dsiponible
562,997-91-4014,paquetes,aceptado
563,960-88-2587,puerta a puerta,en curso
564,066-37-5177,encomienda,No Dsiponible
565,341-17-5535,paquetes,No Dsiponible
566,956-59-1405,paquetes,Disponible
567,208-63-8753,encomienda,finalizado
568,644-21-6597,comida,No Dsiponible
569,402-46-6879,comida,en curso
570,601-18-0841,puerta a puerta,Disponible
571,117-82-8379,encomienda,cancelado
572,117-12-5219,comida,en curso
573,649-12-5729,paquetes,aceptado
574,173-08-0008,paquetes,No Dsiponible
575,337-48-6825,puerta a puerta,No Dsiponible
576,011-67-0382,viaje,No Dsiponible
577,314-67-6330,puerta a puerta,aceptado
578,791-16-1070,puerta a puerta,finalizado
579,274-46-3291,paquetes,aceptado
580,448-28-3106,paquetes,No Dsiponible
581,675-02-4550,paquetes,cancelado
582,304-02-9831,puerta a puerta,cancelado
583,986-68-6102,comida,cancelado
584,691-65-0659,viaje,No Dsiponible
585,821-15-9249,paquetes,finalizado
586,032-74-8928,viaje,Disponible
587,081-46-1715,viaje,cancelado
588,438-82-8015,encomienda,cancelado
589,330-78-1266,paquetes,No Dsiponible
590,859-71-1445,viaje,finalizado
591,209-48-1802,puerta a puerta,en curso
592,581-52-7044,viaje,cancelado
593,254-01-1310,puerta a puerta,en curso
594,078-81-2417,paquetes,aceptado
595,471-34-3341,puerta a puerta,Disponible
596,364-95-0787,paquetes,en curso
597,081-56-1036,encomienda,finalizado
598,060-81-6519,viaje,en curso
599,016-05-0309,paquetes,en curso
600,490-09-8444,viaje,en curso
601,169-69-4881,viaje,en curso
602,856-71-8327,paquetes,aceptado
603,198-16-1460,paquetes,en curso
604,527-58-6597,encomienda,en curso
605,002-11-2679,encomienda,Disponible
606,301-78-3847,paquetes,No Dsiponible
607,746-70-5423,encomienda,en curso
608,062-25-1077,paquetes,Disponible
609,879-78-0675,viaje,aceptado
610,184-69-5155,puerta a puerta,finalizado
611,389-28-9324,puerta a puerta,Disponible
612,672-71-1170,encomienda,No Dsiponible
613,737-08-0712,paquetes,finalizado
614,061-86-0720,comida,finalizado
615,226-79-9640,viaje,finalizado
616,929-34-6769,paquetes,finalizado
617,807-63-9366,encomienda,cancelado
618,883-67-9973,puerta a puerta,Disponible
619,427-77-3034,paquetes,cancelado
620,787-97-9286,viaje,Disponible
621,512-51-7267,encomienda,en curso
622,941-76-4955,comida,cancelado
623,712-45-6659,viaje,finalizado
624,374-76-9257,comida,No Dsiponible
625,329-13-6259,puerta a puerta,No Dsiponible
626,736-16-1010,puerta a puerta,finalizado
627,000-50-5966,paquetes,cancelado
628,014-19-9433,viaje,en curso
629,224-83-7624,encomienda,No Dsiponible
630,497-20-0466,comida,Disponible
631,171-35-1749,viaje,No Dsiponible
632,007-67-8335,viaje,aceptado
633,726-14-3780,paquetes,cancelado
634,851-47-5628,encomienda,aceptado
635,595-38-3177,encomienda,cancelado
636,726-45-3469,paquetes,aceptado
637,749-23-7788,puerta a puerta,cancelado
638,225-29-8890,viaje,en curso
639,785-38-9676,puerta a puerta,finalizado
640,444-15-1108,comida,Disponible
641,336-61-3795,encomienda,finalizado
642,721-47-8522,paquetes,finalizado
643,218-70-3641,paquetes,Disponible
644,188-15-0562,encomienda,finalizado
645,680-93-4461,puerta a puerta,finalizado
646,411-59-8386,comida,cancelado
647,174-55-0403,comida,Disponible
648,238-64-7208,encomienda,en curso
649,607-92-7354,paquetes,No Dsiponible
650,357-93-9304,viaje,No Dsiponible
651,846-71-8574,viaje,Disponible
652,578-45-1642,paquetes,No Dsiponible
653,900-95-3542,viaje,finalizado
654,814-73-4078,comida,No Dsiponible
655,895-48-0390,comida,Disponible
656,915-75-2039,paquetes,en curso
657,203-94-0433,puerta a puerta,cancelado
658,155-00-0939,paquetes,Disponible
659,439-46-2109,viaje,finalizado
660,184-17-3538,viaje,aceptado
661,070-99-6429,encomienda,No Dsiponible
662,179-63-2989,viaje,aceptado
663,606-03-1231,paquetes,en curso
664,606-83-4404,paquetes,cancelado
665,493-50-5074,comida,en curso
666,779-75-2177,comida,cancelado
667,640-33-5576,comida,No Dsiponible
668,579-05-9465,comida,finalizado
669,237-41-2514,encomienda,cancelado
670,486-78-9758,viaje,finalizado
671,708-08-2257,encomienda,Disponible
672,912-26-3087,paquetes,cancelado
673,644-14-9875,encomienda,No Dsiponible
674,204-43-0478,puerta a puerta,cancelado
675,754-65-0809,comida,finalizado
676,798-93-3931,comida,Disponible
677,315-20-1834,comida,aceptado
678,756-06-5132,viaje,Disponible
679,839-22-7327,encomienda,Disponible
680,316-06-7215,comida,aceptado
681,350-38-9087,paquetes,finalizado
682,740-95-4769,encomienda,en curso
683,691-89-0005,viaje,Disponible
684,482-02-7313,paquetes,Disponible
685,811-97-8843,paquetes,Disponible
686,025-22-0927,paquetes,aceptado
687,836-22-0387,encomienda,finalizado
688,602-86-2354,encomienda,No Dsiponible
689,935-76-3045,paquetes,aceptado
690,015-21-7233,paquetes,No Dsiponible
691,661-59-9681,comida,aceptado
692,897-82-9879,viaje,Disponible
693,578-00-6758,comida,aceptado
694,610-31-7930,comida,Disponible
695,633-60-8132,puerta a puerta,No Dsiponible
696,808-86-8389,viaje,Disponible
697,564-58-8604,viaje,No Dsiponible
698,962-41-9975,puerta a puerta,cancelado
699,918-15-0687,puerta a puerta,aceptado
700,462-34-5968,comida,Disponible
701,539-30-6136,puerta a puerta,cancelado
702,697-05-4658,puerta a puerta,finalizado
703,342-75-9187,puerta a puerta,aceptado
704,769-65-4199,puerta a puerta,cancelado
705,198-22-5118,viaje,No Dsiponible
706,494-16-5176,paquetes,No Dsiponible
707,805-97-4595,paquetes,No Dsiponible
708,880-53-9099,comida,cancelado
709,448-33-2200,comida,Disponible
710,227-37-4581,viaje,aceptado
711,750-57-2230,paquetes,cancelado
712,045-25-9455,puerta a puerta,finalizado
713,010-71-0438,puerta a puerta,aceptado
714,200-47-7691,paquetes,finalizado
715,191-19-0901,encomienda,Disponible
716,427-10-5938,viaje,cancelado
717,974-54-6566,encomienda,cancelado
718,690-05-7859,viaje,en curso
719,804-75-3602,encomienda,cancelado
720,952-13-8000,comida,finalizado
721,224-27-4555,comida,cancelado
722,374-39-4182,puerta a puerta,aceptado
723,538-91-2764,comida,Disponible
724,858-49-0848,comida,Disponible
